foodname,foodcategory,city,materials,description
croquetas,"İspanyol Mutfağı",Madrid,"beşamel sos,jambon,peynir,galeta unu","Beşamel soslu harç hazırlanır, içine doğranmış jambon ve peynir eklenir. Küçük toplar haline getirilir ve önce una, sonra çırpılmış yumurtaya ve en son ekmek kırıntısına bulandırılır. Kızgın yağda altın rengini alana kadar kızartılır. Sıcak olarak meze şeklinde servis edilir."
churros,"İspanyol Mutfağı – Tatlı",Madrid,"un,su,tuz,şeker,yağ","Hamur, un, su, tuz ve şeker karışımından hazırlanır. Uzun şeritler halinde sıkılır ve kızgın yağda çıtır çıtır kızartılır. Üzerine ek şeker serpilir. Sıcak olarak çikolata sosu eşliğinde servis edilir."
empanadas,"İspanyol Mutfağı",Buenos Aires,"hamur,sığır eti,soğan,zeytin,baharatlar","Hamur yoğrulur, açılır ve içine baharatlı sote edilmiş kıyma, soğan ve zeytin eklenir. Hamur yarım ay şeklinde kapatılır. Önceden ısıtılmış fırında veya yağda kızartılarak pişirilir. Sıcak olarak atıştırmalık şeklinde servis edilir."
fabada asturiana,"İspanyol Mutfağı",Asturias,"beyaz fasulye,chorizo,morcilla,bacon","Beyaz fasulyeler, chorizo, morcilla ve bacon uzun süre kısık ateşte pişirilir. Malzemeler birbirine karışarak yoğun bir güveç oluşturur. Baharatlarla tatlandırılır. Sıcak olarak servis edilir."
pisto,"İspanyol Mutfağı",Toledo,"domates,kabak,patlıcan,biber,soğan,sarımsak","Domates, kabak, patlıcan, biber, soğan ve sarımsak küçük küpler halinde doğranır. Zeytinyağında kavrulur ve domatesle iyice pişirilir. Sebzeler yumuşayıp sos kıvamına geldiğinde ocaktan alınır. Ilık olarak, ekmekle birlikte servis edilir."
sangria,"İspanyol Mutfağı – İçecek",Madrid,"kırmızı şarap,meyveler,brendi,soda suyu","Kırmızı şarap, dilimlenmiş taze meyveler ve brendi karıştırılır. Üzerine soda suyu eklenir ve iyice soğutulur. Buz eklenerek servis edilir. Ferahlatıcı içecek olarak sunulur."
ceviche,"Peruvian Mutfağı",Lima,"balık,misket limonu,soğan,acı biber,kişniş","Taze balık küpler halinde kesilir ve bolca limon suyunda marine edilir. İnce dilimlenmiş soğan, doğranmış chili ve kişniş eklenir. Karışım soğuk olarak birkaç dakika bekletilir. Ferahlatıcı bir deniz mahsulü olarak servis edilir."
lomo saltado,"Peruvian Mutfağı",Lima,"sığır eti,domates,soğanlar,kızarmış patates,soya sosu","İnce dilimlenmiş sığır eti, domates ve soğan yüksek ateşte hızlıca sotelenir. Üzerine kızarmış patates kızartması eklenir. Soya sosu ile tatlandırılarak karıştırılır. Sıcak olarak pirinçle birlikte servis edilir."
aji de gallina,"Peruvian Mutfağı",Lima,"tavuk,krema,ceviz,acı biber,ekmek","Haşlanmış tavuk didiklenir ve ceviz, chili ve ekmek içi ile karıştırılır. Kremsi bir sos elde edilene kadar pişirilir. Baharatlarla tatlandırılır. Sıcak olarak pilav veya ekmekle servis edilir."
anticuchos,"Peruvian Mutfağı",Lima,"sığır kalbi,sirke,sarımsak,baharatlar","Et kalbi, sirke, sarımsak ve baharatlarla marine edilir. Şişlere dizilip mangalda yüksek ateşte pişirilir. Dış kısmı hafif kızarıp içi yumuşak kalır. Yanında sosla sıcak olarak servis edilir."
pisco sour,"Peruvian Mutfağı – İçecek",Lima,"pisco,misket limonu,yumurta akı,bitters,şeker","Pisco, taze lime suyu, yumurta akı ve şeker buzla karıştırılır. Karışım pürüzsüz bir kıvam alır. Birkaç damla bitters eklenir. Soğuk olarak kokteyl bardağında servis edilir."
feijoada,"Brezilya Mutfağı",Rio de Janeiro,"siyah fasulye,domuz eti,sığır eti,sosis,sarımsak","Siyah fasulye, çeşitli domuz eti, sosis ve sığır eti uzun süre kaynatılır. Tüm malzemeler bir araya getirilip yoğun bir güveç haline gelir. Baharatlarla tatlandırılır. Sıcak olarak pirinçle birlikte servis edilir."
moqueca,"Brezilya Mutfağı",Bahia,"balık,hindistancevizi sütü,domates,biber,kişniş","Balık ve deniz ürünleri, hindistancevizi sütü, domates ve biber ile birlikte kısık ateşte pişirilir. Malzemeler yavaşça birbirine karışır. Taze kişniş ile süslenir. Sıcak olarak geleneksel Brezilya usulü servis edilir."
churrasco,"Brezilya Mutfağı",Rio de Janeiro,"sığır eti,tuz,sarımsak","Kalın kesilmiş sığır eti, tuz ve ezilmiş sarımsak ile marine edilir. Izgarada yüksek ateşte hızlıca pişirilir. Dış kısmı kızarırken içi sulu kalır. Dilimlenip sıcak olarak servis edilir."
coxinha,"Brezilya Mutfağı – Sokak Lezzeti",São Paulo,"tavuk,hamur,krem peynir,galeta unu","Tavuk eti haşlanıp didiklenir, krem peynirle karıştırılır. Hamur hazırlanır, tavuk karışımı içine konur. Küçük koni şeklinde kapatılır, ekmek kırıntısına bulandıktan sonra kızgın yağda kızartılır. Sıcak olarak atıştırmalık şeklinde servis edilir."
brigadeiro,"Brezilya Mutfağı – Tatlı",Brazil,"kondens süt,kakao tozu,tereyağı,çikolata serpiştirmesi","Kondens sütü, kakao ve tereyağı kısık ateşte sürekli karıştırılarak yoğunlaştırılır. Karışım küçük toplar haline getirilir. Toplar, çikolata serpiştirilerek süslenir. Oda sıcaklığında tatlı olarak servis edilir."
quinoa salad,"Sağlıklı Yemek",Global,"kinoa,sebzeler,limon sosu","Pişmiş kinoa, doğranmış taze sebzeler ile karıştırılır. Limon suyu, zeytinyağı ve tuzdan oluşan sos eklenir. Tüm malzemeler iyice harmanlanır. Ferahlatıcı ve besleyici salata olarak servis edilir."
hummus,"Orta Doğu Mutfağı",Beirut,"nohut,tahin,sarımsak,limon,zeytinyağı","Haşlanmış nohut, tahin, sarımsak ve limon suyu blendırda püre haline getirilir. Zeytinyağı eklenir ve iyice karıştırılır. Kıvam ayarı yapılır. Soğuk olarak meze şeklinde servis edilir."
shakshuka,"Orta Doğu Mutfağı",Tel Aviv,"domates,yumurta,biber,soğan,sarımsak,baharatlar","Domates, biber, soğan ve sarımsak zeytinyağında kavrulur. Baharatlar eklenir ve sos kıvamına gelene kadar pişirilir. Yumurtalar sosun içine kırılır ve hafifçe pişirilir. Sıcak olarak ekmekle servis edilir."
baba ganoush,"Orta Doğu Mutfağı",Beirut,"patlıcan,tahin,sarımsak,limon,zeytinyağı","Patlıcan közde veya fırında pişirilip kabuğu soyulur. İç kısmı ezilerek tahin, sarımsak ve limon suyu ile karıştırılır. Zeytinyağı eklenir ve pürüzsüz hale getirilir. Soğuk olarak meze şeklinde servis edilir."
fattoush,"Orta Doğu Mutfağı – Salata",Beirut,"karışık yeşillikler,domates,salatalık,kızarmış pita ekmekleri,sumak","Karışık yeşillikler, doğranmış domates ve salatalık hazırlanır. Kızarmış pita ekmekleri ufalanır. Tüm malzemeler zeytinyağı, limon suyu ve sumak ile karıştırılır. Taze olarak servis edilir."
mansaf,"Orta Doğu Mutfağı",Amman,"kuzu eti, yoğurt sosu, pirinç, badem","Kuzu eti, baharatlarla marine edilip uzun süre yavaşça pişirilir. Yoğurt sosu hazırlanır ve et üzerine dökülür. Pilavla birlikte badem serpilerek servis edilir. Geleneksel Orta Doğu yemeği olarak sunulur."
tagine,"Fas Mutfağı",Marrakech,"et (kuzu/tavuk), kurutulmuş meyveler, baharatlar, sebzeler","Et ve sebzeler, baharatlı bir sos içinde geleneksel tagine kabında yavaşça pişirilir. Kurutulmuş meyveler eklenir. Sos ve etin iyice bütünleşmesi sağlanır. Sıcak olarak kuskus veya ekmek ile servis edilir."
couscous,"Fas Mutfağı",Marrakech,"irmik, sebzeler, et, baharatlar","İnce irmik, sıcak su ile buharda pişirilir. Sebzeler ve et, baharatlarla sotelenir. Pişmiş kuskus ile karıştırılır. Taze otlar eklenip sıcak olarak servis edilir."
harira,"Fas Mutfağı",Rabat,"domatesler, mercimek, nohut, et, baharatlar","Domates, mercimek, nohut ve et kemikleri büyük tencerede birleştirilir. Baharatlarla tatlandırılır ve uzun süre kaynatılır. Sos yoğunlaşınca sıcak olarak servis edilir. Özellikle Ramazan ayında tercih edilir."
pastilla,"Fas Mutfağı",Fez,"yufka, güvercin (veya tavuk), badem, baharatlar","İnce yufkalar, et veya güvercin eti, badem ve baharat karışımı ile katmanlanır. Tatlı ve tuzlu unsurlar dengelenir. Fırında hafifçe kızarana kadar pişirilir. Toz şeker ve tarçınla süslenip servis edilir."
biryani,"Hint Mutfağı",Hyderabad,"basmati pirinci, et, baharatlar, yoğurt","Basmati pirinci, baharatlı et ve yoğurt ile kat kat pişirilir. Önceden marine edilmiş et, pirincin içine karıştırılır. Düşük ateşte demlendirilir. Zengin aromalı bir pilav olarak servis edilir."
butter chicken,"Hint Mutfağı",Delhi,"tavuk, domates, krema, baharatlar, tereyağı","Tavuk, yoğurt ve baharatlarla marine edilir, ardından domates ve krema ile birlikte ağır ateşte pişirilir. Tereyağı ile zenginleştirilir. Sosu koyu ve kremamsı olur. Sıcak olarak naan ekmeğiyle servis edilir."
palak paneer,"Hint Mutfağı",Punjab,"ıspanak, peynir, sarımsak, zencefil, krema","Ispanak haşlanıp püre haline getirilir. Paneer küp olarak kızartılır. Ispanak püresi, sarımsak, zencefil ve krema ile karıştırılır. Baharatlarla tatlandırılıp sıcak servis edilir."
rogan josh,"Hint Mutfağı",Kashmir,"kuzu eti, yoğurt, baharatlar, sarımsak, zencefil","Kuzu eti, yoğurt ve baharatlarla marine edilir. Et, tencerede uzun süre ağır ateşte pişirilir. Sarımsak ve zencefil aroması yoğunlaşır. Geleneksel şekilde pilav veya ekmekle servis edilir."
samosa,"Hint Mutfağı – Sokak Lezzeti",Mumbai,"un, patates, bezelye, baharatlar, yağ","Hamur ince açılır, içine haşlanmış patates, bezelye ve baharat karışımı konur. Üçgen şeklinde katlanıp mühürlenir. Kızgın yağda çıtır çıtır kızartılır. Sıcak olarak chutney eşliğinde servis edilir."
chole bhature,"Hint Mutfağı – Sokak Lezzeti",Delhi,"nohut, un, baharatlar, yoğurt","Baharatlı nohut yahnisi hazırlanır, haşlanır ve püre haline getirilir. Mayalı hamur, incecik açılır ve kızgın yağda kızartılır. Nohut yahnisi ile birlikte sıcak servis edilir. Sokak lezzeti olarak popülerdir."
dosa,"Hint Mutfağı",Chennai,"pirinç, mercimek, baharatlar","Fermente pirinç ve mercimek karışımı ince bir hamur oluşturur. Tavada ince krepler şeklinde yayılır ve altın rengi olana kadar pişirilir. İnce ve çıtır dosa, çeşitli dolgu malzemeleriyle servis edilir. Geleneksel Güney Hindistan kahvaltısıdır."
idli,"Hint Mutfağı",Chennai,"pirinç, mercimek, fermantasyon","Pirinç ve mercimek, uzun süre fermente edilerek hamur haline getirilir. Buharda pişirilip yumuşak ve süngerimsi idli elde edilir. Hafif ve besleyici olan idli, genellikle chutney ve sambar ile servis edilir. Geleneksel Güney Hindistan kahvaltısıdır."
vada pav,"Hint Mutfağı – Sokak Lezzeti",Mumbai,"patates köftesi, ekmek çöreği, çutney, baharatlar","Baharatlı patates köftesi hazırlanır, kızgın yağda kızartılır. Ekmeğin arasına yerleştirilir ve yeşil çutney ile tatlandırılır. Hızlıca elden geçirilip sokak lezzeti olarak sunulur. Mumbai’nin popüler atıştırmalığıdır."
pani puri,"Hint Mutfağı – Sokak Lezzeti",Mumbai,"irmik, patates, nohut, hindi ekşisi suyu","Küçük çıtır hamur topları hazırlanır, içine haşlanmış patates ve nohut doldurulur. Üzerine hindi ekşisi suyu dökülür. Servis öncesi biraz bekletilip lezzetlerin karışması sağlanır. Hızlıca tüketilerek atıştırmalık olarak sunulur."
gulab jamun,"Hint Mutfağı – Tatlı",Lucknow,"süt katıları, şerbet, kakule","Süt tozu ve irmik karışımından küçük toplar yapılır, kızgın yağda altın rengini alana kadar kızartılır. Ardından, hafif ılık şerbetin içine batırılır. Şerbeti iyice çekene kadar bekletilir. Tatlı olarak soğuk veya ılık servis edilir."
jalebi,"Hint Mutfağı – Tatlı",Delhi,"un, yoğurt, şerbet, safran","Mayalı hamur, kıvrılarak uzun şeritler halinde sıkılır. Kızgın yağda kızartılır, ardından sıcak şerbetin içine batırılır. Şerbeti çekip parlak bir yüzey kazandıktan sonra servis edilir. Tatlı, sıcak veya oda sıcaklığında sunulur."
bakso,"Endonezya Mutfağı",Jakarta,"et topları, erişte, et suyu, sebzeler","Et topları hazırlanır ve haşlanmak üzere kaynar suya atılır. Noodle ve sebzelerle birlikte yoğun bir çorba oluşturulur. Baharatlarla tatlandırılır, tüm malzemeler karıştırılır. Sıcak çorba olarak servis edilir."
nasi goreng,"Endonezya Mutfağı",Jakarta,"pirinç, yumurta, sebzeler, tavuk, tatlı soya sosu","Haşlanmış pirinç, tavada yumurta, sebze ve tavuk ile yüksek ateşte hızlıca kızartılır. Tatlı soya sosu ile tatlandırılır. Tüm malzemeler iyice harmanlanır. Sıcak olarak, garnitürlerle servis edilir."
satay,"Endonezya Mutfağı",Jakarta,"et, yer fıstığı sosu, baharatlar","Marine edilmiş et şişlere dizilir ve mangalda pişirilir. Yanında yer fıstığı sosu ile servis edilir. Etin dışı kızarıp içi yumuşak kalır. Sokak lezzeti olarak sunulur."
gado-gado,"Endonezya Mutfağı",Jakarta,"sebzeler, yer fıstığı sosu, tofu, tempeh","Haşlanmış sebzeler, tofu ve tempeh, zengin yer fıstığı sosuyla karıştırılır. Malzemeler iyice harmanlanır. Soğuk veya oda sıcaklığında meze olarak servis edilir. Taze yeşilliklerle süslenir."
rendang,"Endonezya Mutfağı",Padang,"sığır eti, hindistancevizi sütü, baharatlar","Sığır eti, hindistancevizi sütü ve baharatlarla uzun süre kısık ateşte pişirilir. Et iyice yumuşadığında yoğun bir sos oluşur. Karışım geleneksel yöntemle demlenir. Sıcak olarak pilav ile servis edilir."
pho,"Vietnam Mutfağı",Hanoi,"et suyu, pirinç erişteleri, taze otlar, sığır eti","Yoğun et suyu, baharatlar ve kemiklerle uzun süre kaynatılır. Pirinç erişteleri haşlanır, taze otlar ve ince dilimlenmiş sığır eti eklenir. Tüm malzemeler çabukca servis edilir. Sıcak olarak, yanında lime ile sunulur."
bánh mì,"Vietnam Mutfağı",Saigon,"baget ekmeği, turşu sebzeler, domuz eti, pate, kişniş","Taze baget ekmeği, marine edilmiş domuz eti ve pate ile doldurulur. Turşu sebzeler eklenir, taze kişnişle süslenir. Ekmek çıtır dış yüzeye sahip olacak şekilde servis edilir. Hızlı bir sandviç alternatifi sunar."
bun cha,"Vietnam Mutfağı",Hanoi,"ızgara domuz eti, erişte, taze otlar, balık sosu","Izgara domuz eti, haşlanmış pirinç erişteleri ve taze otlar ile servis edilir. Balık sosu ile tatlandırılır. Tüm malzemeler hızlıca karıştırılır. Sıcak ve ferahlatıcı olarak sunulur."
spring rolls,"Vietnam Mutfağı",Hanoi,"pirinç kağıdı, sebzeler, karides (veya domuz eti), taze otlar","Taze sebze ve isteğe bağlı karides veya domuz eti, ince dilimlenir. Pirinç kağıdı ıslatılır, içine harç konur ve sıkıca sarılır. Hafifçe kızartılarak çıtır hale getirilir. Taze otlar eşliğinde servis edilir."
kimchi,"Kore Mutfağı",Seoul,"napa lahanası, acı biber, sarımsak, zencefil, tuz","Napa lahanası, tuz ile marine edilir ve fermente olmaya bırakılır. Sarımsak, zencefil ve acı biber ile tatlandırılır. Fermente süreci tamamlandığında, geleneksel şekilde servis edilir. Yanında diğer Kore yemekleriyle sunulur."
bibimbap,"Kore Mutfağı",Seoul,"pirinç, sebzeler, sığır eti, yumurta, acı biber ezmesi","Haşlanmış pirinç üzerine sotelenmiş sebzeler, ince dilimlenmiş sığır eti ve yumurta yerleştirilir. Acı biber ezmesi eklenir. Tüm malzemeler karıştırılarak servis edilir. Geleneksel Kore sunumuyla sıcak olarak sunulur."
bulgogi,"Kore Mutfağı",Seoul,"sığır eti, soya sosu, şeker, sarımsak, susam yağı","İnce dilimlenmiş sığır eti, soya sosu, şeker, sarımsak ve susam yağı ile marine edilir. Kısa süreli ızgarada veya tavada hızlıca pişirilir. Etin lezzeti yoğunlaşır. Sıcak olarak, yanında pirinçle servis edilir."
japchae,"Kore Mutfağı",Seoul,"cam erişte, sığır eti, sebzeler, soya sosu","Cam erişte haşlanır ve süzülür. İnce doğranmış sığır eti ve sebzeler, soya sosu ile sotelenir. Erişte ve diğer malzemeler karıştırılır. Taze ve hafif olarak servis edilir."
tteokbokki,"Kore Mutfağı",Seoul,"pirinç kekleri, acı biber ezmesi, balık kekleri, yeşil soğan","Pirinç kekleri, acı biber ezmesi sosunda pişirilir. Balık kekleri ve ince doğranmış yeşil soğan eklenir. Sos yoğunlaşana kadar pişirilir. Sokak lezzeti olarak sıcak servis edilir."
pierogi,"Polonya Mutfağı",Krakow,"un, patates, peynir, soğan, tereyağı","Hamur, un ve su ile hazırlanır, küçük kesitler haline getirilir. Patates ve peynir dolgusuyla doldurulur. Haşlanır ve ardından tereyağında kızartılır. Sıcak olarak, ekşi krema ile servis edilir."
bigos,"Polonya Mutfağı",Warsaw,"ekşi lahana, et, mantarlar, domatesler","Lahana, et, mantar ve domates uzun süre kısık ateşte pişirilir. Tüm malzemeler iyice karışarak yoğun bir güveç oluşturur. Baharatlarla tatlandırılır. Sıcak olarak servis edilir."
kielbasa,"Polonya Mutfağı",Krakow,"sosis, domuz eti, sarımsak, baharatlar","Domuz eti, sarımsak ve baharatlarla hazırlanan sosis, şekil verildikten sonra ızgarada pişirilir. Dışı kızarana kadar yüksek ateşte tutulur. Dilimlenip sıcak olarak servis edilir. Yanında hardal veya ekmekle sunulur."
placki ziemniaczane,"Polonya Mutfağı",Warsaw,"patates, yumurta, un, soğan","Rendelenmiş patates, yumurta, un ve ince doğranmış soğan karıştırılır. Karışımdan ince krep benzeri yassı kekler oluşturulur. Kızgın yağda her iki tarafı da altın rengini alana kadar kızartılır. Sıcak olarak yoğurt veya sosla servis edilir."
schnitzel,"Alman Mutfağı",Berlin,"dana veya domuz eti, ekmek kırıntıları, yumurta, un","Dana veya domuz eti ince dilimlenir, dövülerek yassılaştırılır. Önce una, sonra çırpılmış yumurtaya ve son olarak ekmek kırıntılarına bulanır. Kızgın yağda altın rengini alana kadar kızartılır. Limon dilimleri ile sıcak olarak servis edilir."
bratwurst,"Alman Mutfağı",Berlin,"sosis, domuz eti, baharatlar","Baharatlı domuz eti sosisleri, ızgarada veya tavada pişirilir. Dışı kızarıp içi sulu kalır. Hafifçe dilimlenip sıcak olarak servis edilir. Yanında hardal ve ekmekle sunulur."
sauerkraut,"Alman Mutfağı",Berlin,"lahana, tuz","Lahana ince ince doğranır ve tuzla ovularak fermente olmaya bırakılır. Fermente süreci tamamlandığında, ekşi ve çıtır bir garnitür elde edilir. Soğuk olarak sosis veya et yemeklerinin yanında servis edilir."
pretzel,"Alman Mutfağı",Munich,"un, su, maya, tuz","Mayalı hamur yoğrulur, şekil verilir ve pretzel formuna sokulur. Üzerine tuz serpilir ve fırında pişirilir. Dışı çıtır, içi yumuşak olarak elde edilir. Sıcak veya oda sıcaklığında servis edilir."
wiener schnitzel,"Avusturya Mutfağı",Vienna,"dana eti, ekmek kırıntıları, yumurta, un, limon","Dana eti ince dilimlenir, dövülerek inceltilir. Önce una, sonra yumurtaya ve son olarak ekmek kırıntılarına bulanır. Kızgın yağda kızarana kadar pişirilir. Limon dilimleri eşliğinde sıcak olarak servis edilir."
goulash,"Macar Mutfağı",Budapest,"dana eti, paprika, soğanlar, domatesler","Dana eti, paprika, soğan ve domates ile geniş bir tencerede uzun süre pişirilir. Et yumuşadığında yoğun bir sos oluşur. Baharatlarla tatlandırılır. Sıcak olarak pilav veya ekmekle servis edilir."
chicken paprikash,"Macar Mutfağı",Budapest,"tavuk, paprika, krema, soğan","Tavuk parçaları, soğan ve paprika ile kavrulur. Üzerine krema eklenir ve kısık ateşte pişirilir. Sos koyulaştıktan sonra sıcak olarak servis edilir. Yanında erişte önerilir."
dobos torte,"Macar Mutfağı – Tatlı",Budapest,"sünger kek, çikolatalı tereyağı kreması, karamel","İnce katlar halinde sünger kek dilimleri hazırlanır. Aralarına yoğun çikolatalı krema sürülür. Üstüne ince karamel tabakası dökülerek tamamlanır. Dilimlenip soğuk olarak servis edilir."
sacher torte,"Avusturya Mutfağı – Tatlı",Vienna,"çikolatalı kek, kayısı reçeli, çikolata kaplaması","Zengin çikolatalı kek dilimleri hazırlanır, aralarına kayısı reçeli sürülür. Üzerine çikolata kaplaması yapılır. Soğuduktan sonra dilimlenip servis edilir. Geleneksel Avusturya tatlısı olarak sunulur."
moussaka,"Yunan Mutfağı",Athens,"patlıcan, kıyma, patatesler, beşamel","Patlıcan dilimleri kızartılır veya fırında pişirilir. Kıyma ve baharatlarla hazırlanan et sosu, kızarmış patates ile katmanlanır. Üzerine beşamel sos dökülüp fırında pişirilir. Sıcak olarak dilimlenip servis edilir."
souvlaki,"Yunan Mutfağı – Sokak Lezzeti",Athens,"et (kuzu/domuz), pita, tzatziki, sebzeler","Küçük et parçaları marine edilip şişlere dizilir ve ızgarada pişirilir. Taze pita ekmeği ile birlikte servis edilir. Tzatziki sos ve sebzelerle tamamlanır. Sıcak olarak sunulur."
gyro,"Yunan Mutfağı – Sokak Lezzeti",Athens,"et, pita, domatesler, soğanlar, tzatziki","Marine edilmiş et, döner şeklinde pişirilir ve ince dilimler halinde kesilir. Pita ekmeği içine yerleştirilir. Domates, soğan ve tzatziki sos eklenir. Hızlıca rulo yapılarak servis edilir."
spanakopita,"Yunan Mutfağı",Athens,"filo hamuru, ıspanak, feta, soğan, otlar","İnce filo hamur açılır, ıspanak, feta, soğan ve otlarla doldurulur. Rulo şeklinde sarılır ve dilimlenir. Fırında hafifçe kızarana kadar pişirilir. Sıcak olarak servis edilir."
baklava (yunan),"Yunan Mutfağı – Tatlı",Athens,"filo, kuruyemiş, bal şerbeti","İnce filo hamur kat kat dizilir, arasına ceviz veya fındık serpilir. Üzerine bal veya şerbet dökülür. Fırında hafifçe ısıtıldıktan sonra dilimlenir. Tatlı olarak soğuk servis edilir."
dolmades,"Yunan Mutfağı",Athens,"üzüm yaprakları, pirinç, otlar, isteğe bağlı et","Üzüm yaprakları, pirinç ve taze otlar ile doldurulur. İsteğe bağlı olarak kıyma eklenir. Yapraklar sıkıca sarılıp, tencereye dizilir. Limon sosu ile pişirildikten sonra sıcak olarak servis edilir."
pastitsio,"Yunan Mutfağı",Athens,"makarna, kıyma, beşamel, domates sosu","Kat kat makarna, baharatlı kıyma ve beşamel sos fırında pişirilir. Domates sosu ile tatlandırılır. Fırından çıkar çıkmaz dilimlenip sıcak servis edilir. Geleneksel Yunan yemeği olarak sunulur."
